nameofissuer	titleofclass	cusip	value	shrsorprnamt	investmentdiscretion	votingauthority	putcall
AMERICA FIRST MULTIFAMILY IN	BEN UNIT CTF	02364V107	56	10000 SH	SOLE	10000 0 0	N/A
AMERICA MOVIL SAB DE CV	SPON ADR L SHS	02364W105	179	12582 SH	SOLE	12582 0 0	N/A
AMERICAN AIRLS GROUP INC	COM	02376R102	1688	52761 SH	SOLE	52761 0 0	N/A
AMERICAN ELEC PWR INC	COM	025537101	6017	80655 SH	SOLE	80655 0 0	N/A
AMERICAN EXPRESS CO	COM	025816109	20	10000 SH	SOLE	10000 0 0	Put
AMERICAN EXPRESS CO	COM	025816109	36542	383089 SH	SOLE	383089 0 0	N/A
AMERICAN FIN TR INC	COM CLASS A	02607T109	3705	278436 SH	SOLE	278436 0 0	N/A
AMERICAN FINL GROUP INC OHIO	COM	025932104	420	4631 SH	SOLE	4631 0 0	N/A
AMERICAN INTL GROUP INC	COM NEW	026874784	3276	82823 SH	SOLE	82823 0 0	N/A
AMERICAN STS WTR CO	COM	029899101	1075	16064 SH	SOLE	16064 0 0	N/A
AMERICAN TOWER CORP NEW	COM	03027X100	9828	62076 SH	SOLE	62076 0 0	N/A
AMERICAN WTR WKS CO INC NEW	COM	030420103	34786	383127 SH	SOLE	383127 0 0	N/A
AMERIGAS PARTNERS L P	UNIT L P INT	030975106	644	25398 SH	SOLE	25398 0 0	N/A
AMERIPRISE FINL INC	COM	03076C106	2143	20525 SH	SOLE	20525 0 0	N/A
AMERISOURCEBERGEN CORP	COM	03073E105	376	5065 SH	SOLE	5065 0 0	N/A
AMETEK INC NEW	COM	031100100	6067	89890 SH	SOLE	89890 0 0	N/A
AMGEN INC	COM	031162100	92763	476009 SH	SOLE	476009 0 0	N/A
AMN HEALTHCARE SERVICES INC	COM	001744101	582	10196 SH	SOLE	10196 0 0	N/A
AMPHENOL CORP NEW	CL A	032095101	7794	96567 SH	SOLE	96567 0 0	N/A
ANADARKO PETE CORP	COM	032511107	9264	211354 SH	SOLE	211354 0 0	N/A
ANADARKO PETE CORP	COM	032511107	1	400 SH	SOLE	400 0 0	Call
ANALOG DEVICES INC	COM	032654105	1678	19523 SH	SOLE	19523 0 0	N/A
ANDEAVOR LOGISTICS LP	COM UNIT LP INT	03350F106	5982	184338 SH	SOLE	184338 0 0	N/A
ANHEUSER BUSCH INBEV SA/NV	SPONSORED ADR	03524A108	810	12298 SH	SOLE	12298 0 0	N/A
ANNALY CAP MGMT INC	COM	035710409	2950	300119 SH	SOLE	300119 0 0	N/A
ANSYS INC	COM	03662Q105	1193	8401 SH	SOLE	8401 0 0	N/A
ANTARES PHARMA INC	COM	036642106	81	29235 SH	SOLE	29235 0 0	N/A
ANTERO MIDSTREAM PARTNERS LP	UNT LTD PARTN	03673L103	2154	100715 SH	SOLE	100715 0 0	N/A
ANTERO RES CORP	COM	03674X106	92	10929 SH	SOLE	10929 0 0	N/A
ANTERO RES CORP	COM	03674X106	0	1000 SH	SOLE	1000 0 0	Call
ANTHEM INC	COM	036752103	4147	15766 SH	SOLE	15766 0 0	N/A
AON PLC	SHS CL A	G0408V102	1504	10333 SH	SOLE	10333 0 0	N/A
APACHE CORP	COM	037411105	1645	62605 SH	SOLE	62605 0 0	N/A
APOLLO GLOBAL MGMT LLC	CL A SHS	037612306	289	11733 SH	SOLE	11733 0 0	N/A
APOLLO SR FLOATING RATE FD I	COM	037636107	387	26959 SH	SOLE	26959 0 0	N/A
APPLE HOSPITALITY REIT INC	COM NEW	03784Y200	240	16811 SH	SOLE	16811 0 0	N/A
APPLE INC	COM	037833100	312088	1977618 SH	SOLE	1977618 0 0	N/A
APPLE INC	COM	037833100	301	31000 SH	SOLE	31000 0 0	Call
APPLE INC	COM	037833100	616	186400 SH	SOLE	186400 0 0	Put
APPLIED DNA SCIENCES INC	COM NEW	03815U201	4	11067 SH	SOLE	11067 0 0	N/A
APPLIED INDL TECHNOLOGIES IN	COM	03820C105	446	8255 SH	SOLE	8255 0 0	N/A
APPLIED MATLS INC	COM	038222105	1713	52304 SH	SOLE	52304 0 0	N/A
APTARGROUP INC	COM	038336103	523	5554 SH	SOLE	5554 0 0	N/A
APTIV PLC	SHS	G6095L109	494	7972 SH	SOLE	7972 0 0	N/A
AQUA AMERICA INC	COM	03836W103	1289	37638 SH	SOLE	37638 0 0	N/A
AQUAVENTURE HLDGS LTD	SHS	G0443N107	227	12050 SH	SOLE	12050 0 0	N/A
ARCELORMITTAL SA LUXEMBOURG	NY REGISTRY SH	03938L203	1067	51683 SH	SOLE	51683 0 0	N/A
ARCH CAP GROUP LTD	ORD	G0450A105	698	26164 SH	SOLE	26164 0 0	N/A
ARCHER DANIELS MIDLAND CO	COM	039483102	7791	190015 SH	SOLE	190015 0 0	N/A
ARCHROCK INC	COM	03957W106	153	20676 SH	SOLE	20676 0 0	N/A
ARCONIC INC	COM	03965L100	302	17756 SH	SOLE	17756 0 0	N/A
ARCOSA INC	COM	039653100	297	10662 SH	SOLE	10662 0 0	N/A
ARENA PHARMACEUTICALS INC	COM NEW	040047607	446	11455 SH	SOLE	11455 0 0	N/A
ARES CAP CORP	COM	04010L103	18232	1169992 SH	SOLE	1169992 0 0	N/A
ARES COML REAL ESTATE CORP	COM	04013V108	263	20218 SH	SOLE	20218 0 0	N/A
ARES MANAGEMENT CORPORATION	CL A COM STK	03990B101	254	14310 SH	SOLE	14310 0 0	N/A
ARK ETF TR	GEN REV MLTSCT	00214Q302	1488	62025 SH	SOLE	62025 0 0	N/A
ARK ETF TR	INNOVATION ETF	00214Q104	8428	226661 SH	SOLE	226661 0 0	N/A
ARK ETF TR	WEB X.O ETF	00214Q401	583	13858 SH	SOLE	13858 0 0	N/A
ARMSTRONG WORLD INDS INC NEW	COM	04247X102	1253	21621 SH	SOLE	21621 0 0	N/A
ARRAY BIOPHARMA INC	COM	04269X105	1320	93135 SH	SOLE	93135 0 0	N/A
ARRAY BIOPHARMA INC	COM	04269X105	1	500 SH	SOLE	500 0 0	Call
ARROW FINL CORP	COM	042744102	445	13902 SH	SOLE	13902 0 0	N/A
ARROWHEAD PHARMACEUTICALS IN	COM	04280A100	131	10524 SH	SOLE	10524 0 0	N/A
ARROWHEAD PHARMACEUTICALS IN	COM	04280A100	2	500 SH	SOLE	500 0 0	Call
ARTISAN PARTNERS ASSET MGMT	CL A	04316A108	420	19063 SH	SOLE	19063 0 0	N/A
ASGN INC	COM	00191U102	2155	39594 SH	SOLE	39594 0 0	N/A
ASHLAND GLOBAL HLDGS INC	COM	044186104	210	2963 SH	SOLE	2963 0 0	N/A
ASML HOLDING N V	N Y REGISTRY SHS	N07059210	3467	22229 SH	SOLE	22229 0 0	N/A
ASPEN TECHNOLOGY INC	COM	045327103	370	4523 SH	SOLE	4523 0 0	N/A
ASSERTIO THERAPEUTICS INC	COM	04545L107	998	274149 SH	SOLE	274149 0 0	N/A
ASTRAZENECA PLC	SPONSORED ADR	046353108	2191	57601 SH	SOLE	57601 0 0	N/A
ASTRONICS CORP	COM	046433108	542	17821 SH	SOLE	17821 0 0	N/A
AT&T INC	COM	00206R102	96319	3373104 SH	SOLE	3373104 0 0	N/A
ATARA BIOTHERAPEUTICS INC	COM	046513107	682	19688 SH	SOLE	19688 0 0	N/A
ATHENAHEALTH INC	COM	04685W103	214	1598 SH	SOLE	1598 0 0	N/A
ATHENEX INC	COM	04685N103	880	69307 SH	SOLE	69307 0 0	N/A
ATHERSYS INC	COM	04744L106	57	42200 SH	SOLE	42200 0 0	N/A
ATLANTIC CAP BANCSHARES INC	COM	048269203	357	21788 SH	SOLE	21788 0 0	N/A
ATLASSIAN CORP PLC	CL A	G06242104	5882	66154 SH	SOLE	66154 0 0	N/A
ATMOS ENERGY CORP	COM	049560105	1693	18267 SH	SOLE	18267 0 0	N/A
AURORA CANNABIS INC	COM	05156X108	318	64914 SH	SOLE	64914 0 0	N/A
AUTODESK INC	COM	052769106	5193	40307 SH	SOLE	40307 0 0	N/A
AUTOMATIC DATA PROCESSING IN	COM	053015103	26074	198801 SH	SOLE	198801 0 0	N/A
AUTOZONE INC	COM	053332102	4334	5147 SH	SOLE	5147 0 0	N/A
AVALONBAY CMNTYS INC	COM	053484101	880	5034 SH	SOLE	5034 0 0	N/A
AVANGRID INC	COM	05351W103	647	12907 SH	SOLE	12907 0 0	N/A
AVANOS MED INC	COM	05350V106	224	4915 SH	SOLE	4915 0 0	N/A
AVERY DENNISON CORP	COM	053611109	3643	40542 SH	SOLE	40542 0 0	N/A
AXALTA COATING SYS LTD	COM	G0750C108	400	17190 SH	SOLE	17190 0 0	N/A
AXON ENTERPRISE INC	COM	05464C101	4864	111175 SH	SOLE	111175 0 0	N/A
B & G FOODS INC NEW	COM	05508R106	2105	72811 SH	SOLE	72811 0 0	N/A
BAIDU INC	SPON ADR REP A	056752108	3085	18866 SH	SOLE	18866 0 0	N/A
BALL CORP	COM	058498106	2134	46357 SH	SOLE	46357 0 0	N/A
BANCO BILBAO VIZCAYA ARGENTA	SPONSORED ADR	05946K101	486	91445 SH	SOLE	91445 0 0	N/A
BANCO SANTANDER SA	ADR	05964H105	446	98827 SH	SOLE	98827 0 0	N/A
BANK AMER CORP	COM	060505104	40004	1625124 SH	SOLE	1625124 0 0	N/A
BANK HAWAII CORP	COM	062540109	771	11446 SH	SOLE	11446 0 0	N/A
BANK MONTREAL QUE	COM	063671101	4171	63640 SH	SOLE	63640 0 0	N/A
BANK N S HALIFAX	COM	064149107	755	15206 SH	SOLE	15206 0 0	N/A
BANK NEW YORK MELLON CORP	COM	064058100	6504	138199 SH	SOLE	138199 0 0	N/A
BARCLAYS BK PLC	BARC ETN+SHILL	06742A669	1726	15387 SH	SOLE	15387 0 0	N/A
BARCLAYS BK PLC	DJUBS CMDT ETN36	06738C778	998	48396 SH	SOLE	48396 0 0	N/A
BARCLAYS BK PLC	IPATH B SHRT TRM	06746P621	1946	41405 SH	SOLE	41405 0 0	N/A
BARCLAYS BK PLC	IPATH S&P MT ETN	06740Q260	291	13136 SH	SOLE	13136 0 0	N/A
BARCLAYS BK PLC	IPSPGS TTL ETN	06738C794	242	18558 SH	SOLE	18558 0 0	N/A
BARRICK GOLD CORP	COM	067901108	4229	313272 SH	SOLE	313272 0 0	N/A
BARRICK GOLD CORP	COM	067901108	0	1000 SH	SOLE	1000 0 0	Call
BAUSCH HEALTH COS INC	COM	071734107	4250	230344 SH	SOLE	230344 0 0	N/A
BAUSCH HEALTH COS INC	COM	071734107	1	300 SH	SOLE	300 0 0	Call
BAUSCH HEALTH COS INC	COM	071734107	40	44200 SH	SOLE	44200 0 0	Put
BAXTER INTL INC	COM	071813109	7154	108502 SH	SOLE	108502 0 0	N/A
BB&T CORP	COM	054937107	9881	228113 SH	SOLE	228113 0 0	N/A
BCE INC	COM NEW	05534B760	1943	48966 SH	SOLE	48966 0 0	N/A
BECTON DICKINSON & CO	COM	075887109	11907	52834 SH	SOLE	52834 0 0	N/A
BELLICUM PHARMACEUTICALS INC	COM	079481107	109	38620 SH	SOLE	38620 0 0	N/A
BEMIS INC	COM	081437105	358	7815 SH	SOLE	7815 0 0	N/A
BERKSHIRE HATHAWAY INC DEL	CL A	084670108	92718	303 SH	SOLE	303 0 0	N/A
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	168376	825378 SH	SOLE	825378 0 0	N/A
BERRY GLOBAL GROUP INC	COM	08579W103	519	10921 SH	SOLE	10921 0 0	N/A
BEST BUY INC	COM	086516101	4110	77639 SH	SOLE	77639 0 0	N/A
BHP GROUP LIMITED	SPONSORED ADS	088606108	2145	45480 SH	SOLE	45480 0 0	N/A
BHP GROUP PLC	SPONSORED ADS	05545E209	1770	42203 SH	SOLE	42203 0 0	N/A
BIO RAD LABS INC	CL A	090572207	335	1452 SH	SOLE	1452 0 0	N/A
BIO TECHNE CORP	COM	09073M104	304	2120 SH	SOLE	2120 0 0	N/A
BIOGEN INC	COM	09062X103	11042	36631 SH	SOLE	36631 0 0	N/A
BIOMARIN PHARMACEUTICAL INC	COM	09061G101	530	6154 SH	SOLE	6154 0 0	N/A
BIONDVAX PHARMACEUTICALS LTD	SPOND ADS	09073Q105	81	16800 SH	SOLE	16800 0 0	N/A
BLACK HILLS CORP	COM	092113109	422	6744 SH	SOLE	6744 0 0	N/A
BLACK KNIGHT INC	COM	09215C105	441	9780 SH	SOLE	9780 0 0	N/A
BLACK STONE MINERALS L P	COM UNIT	09225M101	2336	150842 SH	SOLE	150842 0 0	N/A
BLACKBERRY LTD	COM	09228F103	75	10311 SH	SOLE	10311 0 0	N/A
BLACKLINE INC	COM	09239B109	206	4805 SH	SOLE	4805 0 0	N/A
BLACKROCK CORE BD TR	SHS BEN INT	09249E101	338	27656 SH	SOLE	27656 0 0	N/A
BLACKROCK CORPOR HI YLD FD I	COM	09255P107	249	26860 SH	SOLE	26860 0 0	N/A
BLACKROCK CR ALLCTN INC TR	COM	092508100	2639	236086 SH	SOLE	236086 0 0	N/A
BLACKROCK ENHANCED EQT DIV T	COM	09251A104	115	14717 SH	SOLE	14717 0 0	N/A
BLACKROCK ENHANCED GBL DIV T	COM	092501105	166	17600 SH	SOLE	17600 0 0	N/A
BLACKROCK FLOAT RATE OME STR	COM	09255X100	165	13792 SH	SOLE	13792 0 0	N/A
BLACKROCK HEALTH SCIENCES TR	COM	09250W107	1067	29225 SH	SOLE	29225 0 0	N/A
BLACKROCK INC	COM	09247X101	16140	40966 SH	SOLE	40966 0 0	N/A
BLACKROCK INCOME TR INC	COM	09247F100	415	72217 SH	SOLE	72217 0 0	N/A
BLACKROCK INVT QUALITY MUN T	COM	09247D105	358	27025 SH	SOLE	27025 0 0	N/A
BLACKROCK MUN 2030 TAR TERM	COM SHS BEN IN	09257P105	554	27002 SH	SOLE	27002 0 0	N/A
BLACKROCK MUN INCOME TR	SH BEN INT	09248F109	224	18514 SH	SOLE	18514 0 0	N/A
BLACKROCK MUNI INCOME TR II	COM	09249N101	162	12477 SH	SOLE	12477 0 0	N/A
BLACKROCK MUNI INTER DR FD I	COM	09253X102	2968	234517 SH	SOLE	234517 0 0	N/A
BLACKROCK MUNI N Y INTER DUR	COM	09255F109	168	13495 SH	SOLE	13495 0 0	N/A
BLACKROCK MUNIASSETS FD INC	COM	09254J102	183	14202 SH	SOLE	14202 0 0	N/A
BLACKROCK MUNIC INCM INVST T	SH BEN INT	09248H105	217	18050 SH	SOLE	18050 0 0	N/A
BLACKROCK MUNICIPAL BOND TR	COM	09249H104	247	18450 SH	SOLE	18450 0 0	N/A
BLACKROCK MUNIENHANCED FD IN	COM	09253Y100	136	13753 SH	SOLE	13753 0 0	N/A
BLACKROCK MUNIHLDGS NY QLTY	COM	09255C106	311	25900 SH	SOLE	25900 0 0	N/A
BLACKROCK MUNIHLDNGS CALI QL	COM	09254L107	500	40547 SH	SOLE	40547 0 0	N/A
BLACKROCK MUNIHLDNGS QLTY II	COM	09254C107	127	11124 SH	SOLE	11124 0 0	N/A
BLACKROCK MUNIHLDS INVSTM QL	COM	09254P108	1532	120312 SH	SOLE	120312 0 0	N/A
BLACKROCK MUNIHOLDINGS FD IN	COM	09253N104	240	16341 SH	SOLE	16341 0 0	N/A
BLACKROCK MUNIVEST FD II INC	COM	09253T101	133	10136 SH	SOLE	10136 0 0	N/A
BLACKROCK MUNIVEST FD INC	COM	09253R105	152	18368 SH	SOLE	18368 0 0	N/A
BLACKROCK MUNIYIELD FD INC	COM	09253W104	257	20454 SH	SOLE	20454 0 0	N/A
BLACKROCK MUNIYIELD INVST FD	COM	09254R104	357	28100 SH	SOLE	28100 0 0	N/A
BLACKROCK MUNIYIELD NY QLTY	COM	09255E102	520	45105 SH	SOLE	45105 0 0	N/A
BLACKROCK MUNIYIELD QLTY FD	COM	09254E103	1560	129830 SH	SOLE	129830 0 0	N/A
BLACKROCK MUNIYIELD QUALITY	COM	09254F100	725	55834 SH	SOLE	55834 0 0	N/A
BLACKROCK MUNIYLD INVST QLTY	COM	09254T100	130	10561 SH	SOLE	10561 0 0	N/A
BLACKROCK NY MUNICIPAL BOND	COM	09249P106	236	18466 SH	SOLE	18466 0 0	N/A
BLACKROCK TAX MUNICPAL BD TR	SHS	09248X100	2825	134063 SH	SOLE	134063 0 0	N/A
BLACKSTONE GROUP L P	COM UNIT LTD	09253U108	49483	1660132 SH	SOLE	1660132 0 0	N/A
BLACKSTONE MTG TR INC	COM CL A	09257W100	391	12263 SH	SOLE	12263 0 0	N/A
BLOCK H & R INC	COM	093671105	231	9161 SH	SOLE	9161 0 0	N/A
BOEING CO	COM	097023105	84910	263292 SH	SOLE	263292 0 0	N/A
BOOKING HLDGS INC	COM	09857L108	14215	8250 SH	SOLE	8250 0 0	N/A
BORGWARNER INC	COM	099724106	1620	46572 SH	SOLE	46572 0 0	N/A
BOSTON PROPERTIES INC	COM	101121101	943	8362 SH	SOLE	8362 0 0	N/A
BOSTON SCIENTIFIC CORP	COM	101137107	911	25764 SH	SOLE	25764 0 0	N/A
BOULDER GROWTH & INCOME FD I	COM	101507101	266	25608 SH	SOLE	25608 0 0	N/A
BOX INC	CL A	10316T104	2583	152483 SH	SOLE	152483 0 0	N/A
BOX INC	CL A	10316T104	6	3500 SH	SOLE	3500 0 0	Call
BP MIDSTREAM PARTNERS LP	UNIT LTD PTNR	0556EL109	616	39780 SH	SOLE	39780 0 0	N/A
BP PLC	SPONSORED ADR	055622104	14196	373316 SH	SOLE	373316 0 0	N/A
BRAINSTORM CELL THERAPEUTICS	COM NEW	10501E201	39	10766 SH	SOLE	10766 0 0	N/A
BRIDGE BANCORP INC	COM	108035106	297	11634 SH	SOLE	11634 0 0	N/A
BRIGHT HORIZONS FAM SOL IN D	COM	109194100	335	3018 SH	SOLE	3018 0 0	N/A
BRISTOL MYERS SQUIBB CO	COM	110122108	38062	732943 SH	SOLE	732943 0 0	N/A
BRITISH AMERN TOB PLC	SPONSORED ADR	110448107	5468	171599 SH	SOLE	171599 0 0	N/A
BROADCOM INC	COM	11135F101	30563	119959 SH	SOLE	119959 0 0	N/A
BROADCOM INC	COM	11135F101	165	22000 SH	SOLE	22000 0 0	Put
BROADRIDGE FINL SOLUTIONS IN	COM	11133T103	1868	19443 SH	SOLE	19443 0 0	N/A
BROOKFIELD ASSET MGMT INC	CL A LTD VT SH	112585104	1584	41246 SH	SOLE	41246 0 0	N/A
BROOKFIELD INFRAST PARTNERS	LP INT UNIT	G16252101	4925	143225 SH	SOLE	143225 0 0	N/A
BROOKFIELD PPTY PARTNERS L P	UNIT LTD PARTN	G16249107	166	10352 SH	SOLE	10352 0 0	N/A
BROOKLINE BANCORP INC DEL	COM	11373M107	1165	84132 SH	SOLE	84132 0 0	N/A
BROOKS AUTOMATION INC	COM	114340102	310	11891 SH	SOLE	11891 0 0	N/A
BROWN FORMAN CORP	CL A	115637100	456	9615 SH	SOLE	9615 0 0	N/A
